free_annotation
cell__1	Acinar cells
cell__645	Ductal - MHC Class II
cell__646	Ductal - MHC Class II
cell__647	Ductal - MHC Class II
cell__648	Ductal - CRISP3 high/centroacinar like
cell__649	Ductal - MHC Class II
cell__650	Ductal - CRISP3 high/centroacinar like
cell__651	Ductal - terminal ductal like
cell__652	Cancer clone B
cell__653	Ductal - terminal ductal like
cell__654	Ductal - MHC Class II
cell__655	Ductal - terminal ductal like
cell__656	Ductal - terminal ductal like
cell__657	T cells & NK cells
cell__658	Ductal - APOL1 high/hypoxic
cell__659	Monocytes
cell__660	Cancer clone B
cell__661	Ductal - MHC Class II
cell__662	Ductal - CRISP3 high/centroacinar like
cell__663	Ductal - APOL1 high/hypoxic
cell__664	Ductal - terminal ductal like
cell__665	Ductal - MHC Class II
cell__666	Ductal - terminal ductal like
cell__667	Cancer clone A
cell__668	T cells & NK cells
cell__669	Ductal - terminal ductal like
cell__670	Ductal - terminal ductal like
cell__671	Ductal - CRISP3 high/centroacinar like
cell__672	Ductal - terminal ductal like
cell__673	Ductal - CRISP3 high/centroacinar like
cell__674	Macrophages A
cell__675	Cancer clone A
cell__676	Ductal - CRISP3 high/centroacinar like
cell__677	Ductal - MHC Class II
cell__678	Ductal - terminal ductal like
cell__679	Ductal - APOL1 high/hypoxic
cell__680	Ductal - MHC Class II
cell__681	Ductal - MHC Class II
cell__682	Ductal - CRISP3 high/centroacinar like
cell__683	Ductal - CRISP3 high/centroacinar like
cell__684	Ductal - MHC Class II
cell__685	Ductal - terminal ductal like
cell__686	Fibroblasts
cell__687	Ductal - terminal ductal like
cell__688	T cells & NK cells
cell__689	T cells & NK cells
cell__690	Cancer clone A
cell__691	Ductal - APOL1 high/hypoxic
cell__692	Ductal - terminal ductal like
cell__693	Cancer clone B
cell__694	Macrophages B
cell__695	T cells & NK cells
cell__696	Ductal - MHC Class II
cell__697	Ductal - CRISP3 high/centroacinar like
cell__698	Ductal - MHC Class II
cell__699	Ductal - APOL1 high/hypoxic
cell__700	Ductal - CRISP3 high/centroacinar like
cell__701	Ductal - CRISP3 high/centroacinar like
cell__702	Ductal - terminal ductal like
cell__703	Macrophages B
cell__704	T cells & NK cells
cell__705	Ductal - CRISP3 high/centroacinar like
cell__706	Ductal - MHC Class II
cell__707	Cancer clone A
cell__708	Ductal - terminal ductal like
cell__709	Cancer clone A
cell__710	Monocytes
cell__711	Ductal - MHC Class II
cell__712	Ductal - CRISP3 high/centroacinar like
cell__713	Ductal - CRISP3 high/centroacinar like
cell__714	Ductal - APOL1 high/hypoxic
cell__715	Ductal - APOL1 high/hypoxic
cell__716	Monocytes
cell__717	Endothelial cells
cell__718	Ductal - terminal ductal like
cell__719	T cells & NK cells
cell__720	Macrophages B
cell__721	T cells & NK cells
cell__722	Acinar cells
cell__723	Ductal - CRISP3 high/centroacinar like
cell__724	T cells & NK cells
cell__725	Cancer clone A
cell__726	Ductal - MHC Class II
cell__727	Ductal - terminal ductal like
cell__728	Ductal - MHC Class II
cell__729	Ductal - MHC Class II
cell__730	Cancer clone A
cell__731	RBCs
cell__732	Ductal - CRISP3 high/centroacinar like
cell__733	Cancer clone B
cell__734	Fibroblasts
